feature,mu_level,noise_arm,noise_level,sample_ratio,n,sigma,nsr,rho_all,p_all,rho_pos,p_pos,kw_H,kw_p,eps_sq,n_inversions,spread,p_all_bh,p_pos_bh,kw_p_bh,ranks_dose,monotone
barcode_mean_len,high,abs,45.0,0.3,50,6.708199999999998,0.025888664149992257,0.4331564264742223,0.0016776807449435114,-0.060050010427519625,0.7128143594572259,22.75388235294116,0.0001417981461605853,0.41675294117647027,2,4.631676369220755,0.00304734979062005,0.833858307289585,0.0003045549097675389,False,False
barcode_mean_len,high,abs,50.0,0.3,50,7.0711,0.027289188317433922,0.49979587670102577,0.0002195189404492559,0.02905645665847724,0.8587392363951517,23.86070588235293,8.517731184725112e-05,0.4413490196078429,1,5.099604318471256,0.0005129462678839397,0.9264820067836324,0.0001990324121053858,False,False
barcode_mean_len,high,abs,55.0,0.3,50,7.416200000000001,0.028621017719980407,0.42629648306852197,0.002022651360071371,-0.09685485552825747,0.5521509629648069,23.595294117647057,9.62669276737487e-05,0.43545098039215685,2,4.679730243681998,0.0036104909114517757,0.7082764076652006,0.00021836156765021045,False,False
barcode_mean_len,high,abs,60.0,0.3,50,7.746,0.029893800498768674,0.4625561839272238,0.0007193979711864259,-0.009685485552825746,0.9527009964925695,22.85082352941177,0.0001356180535215223,0.4189071895424838,2,5.290295823080299,0.0015000899399178836,0.976859897175402,0.0002926329229118695,False,False
barcode_mean_len,high,abs,65.0,0.3,50,8.0623,0.031114483315417333,0.42335650732322183,0.0021888466001493776,-0.1104145353022135,0.4976084758363196,24.88752941176469,5.299837538651565e-05,0.46416732026143753,2,5.505971714873365,0.0038773854059788973,0.6611084036111103,0.0001303928283319036,False,False
barcode_mean_len,high,abs,70.0,0.3,50,8.3666,0.032288855054608566,0.4331564264742223,0.0016776807449435114,-0.05230162198525902,0.7485781156590099,22.68799999999996,0.00014615689573420733,0.415288888888888,2,3.9452052897434724,0.00304734979062005,0.8584188009406648,0.0003124733632938226,False,False
barcode_mean_len,high,abs,75.0,0.3,50,8.6603,0.03342231867537908,0.4488362971158231,0.0010780775166309505,-0.050364524874693874,0.757604165263162,22.27011764705881,0.00017707093606723228,0.4060026143790847,2,4.362157394355583,0.00208010807150785,0.8634459236455155,0.00036840261866336916,False,False
barcode_mean_len,high,abs,80.0,0.3,50,8.9443,0.03451834750853816,0.42825646689872204,0.0019181774374421048,-0.046490330653563575,0.7757506526956611,22.56658823529412,0.00015454055869104026,0.41259084967320264,2,4.637274906952397,0.003437196564202615,0.8734238583619429,0.00032813406297412656,False,False
barcode_mean_len,high,abs,85.0,0.3,50,9.219499999999998,0.03558041488489514,0.3243773238981167,0.021549851485128137,-0.17433873995086344,0.28196431134337446,27.061647058823496,1.9316490910490684e-05,0.5124810457516332,2,2.183092237246381,0.03191299662606555,0.4584384782331088,5.544548316900103e-05,False,False
barcode_mean_len,high,abs,90.0,0.3,50,9.486800000000002,0.03661199413525931,0.46549615967252395,0.0006582094552439403,0.046490330653563575,0.7757506526956611,18.077176470588228,0.001191965391267381,0.3128261437908495,2,3.979456129680603,0.0013849203470064806,0.8734238583619429,0.002099484495982319,False,False
barcode_mean_len,high,abs,95.0,0.3,50,9.7468,0.03761540081350355,0.4400163698799227,0.001386118619822625,-0.02130806821621664,0.8961665966991449,20.49976470588237,0.0003978145238168773,0.3666614379084971,2,4.066211170780903,0.0025885347719579142,0.950324897297839,0.0007572288236732408,False,False
barcode_mean_len,high,abs,100.0,0.3,50,10.0,0.03859256454785524,0.3959167337004204,0.004426469600578261,-0.13172260351843013,0.41782006766944396,25.02023529411764,4.984069260671723e-05,0.4671163398692809,2,4.043766965263055,0.007286047307146519,0.595057676772715,0.00012426767861728426,False,False
barcode_mean_len,high,abs,0.0,0.4,50,0.0,0.0,0.08822893412959558,0.5423366682023342,-0.7496565817887128,2.5972644399910495e-08,37.43033972418429,1.4686067643933235e-07,0.7428964383152065,3,7.64452267937749,0.5845884710973245,2.415455929191676e-05,1.4845698813975988e-06,False,False
barcode_mean_len,high,abs,5.0,0.4,50,2.2361,0.008624513683051638,0.41649656391752143,0.0026246030544110777,-0.1414080890712559,0.38409876947840577,31.912470588235294,1.993537889116499e-06,0.6202771241830065,2,7.322785909477294,0.004588121880831395,0.563425639771163,8.945047764971205e-06,False,False
barcode_mean_len,high,abs,10.0,0.4,50,3.1622999999999997,0.012196815714822323,0.3469171379454179,0.013578881964576316,-0.2808790810319466,0.0791498582946271,28.207058823529394,1.1323832760898371e-05,0.5379346405228754,2,6.847907261522677,0.020804547326286612,0.19473377834392383,3.59425408451723e-05,False,False
barcode_mean_len,high,abs,15.0,0.4,50,3.873,0.014937946198496935,0.46157619201212374,0.000740902883222073,-0.05230162198525902,0.7485781156590099,31.383529411764698,2.5565567113487607e-06,0.6085228758169933,2,6.796650966049186,0.001534609535404294,0.8584188009406648,1.1058594146764407e-05,False,False
