feature,mu_level,noise_arm,noise_level,sample_ratio,n_pos,n_neg,sigma,nsr,n_nan_pos,n_nan_neg,auc,auc_se,auc_lo,auc_hi,p_raw,thresh_max_r0,thresh_mean2sd_r0,p_bh,detectable
barcode_mean_len,high,abs,5.0,0.4,40,10,2.2361,0.008624513683051638,0,0,0.995,0.015966145597504214,0.9637063546288918,1.0,8.335799989322588e-07,2.377132097880045,2.3891428201749796,6.1159669901964865e-06,True
barcode_mean_len,high,abs,10.0,0.4,40,10,3.1622999999999997,0.012196815714822323,0,0,0.9975,0.011304532632817974,0.9753431160396768,1.0,7.38464879278088e-07,3.465438079833985,3.2518755169822366,6.1159669901964865e-06,True
barcode_mean_len,high,abs,15.0,0.4,40,10,3.873,0.014937946198496935,0,0,0.995,0.015966145597504214,0.9637063546288918,1.0,8.335799989322588e-07,2.931706746419271,3.2889152737774676,6.1159669901964865e-06,True
barcode_mean_len,high,abs,20.0,0.4,40,10,4.472100000000001,0.017248641671649405,0,0,0.9925,0.019528774581448426,0.9542236018203611,1.0,9.40412128600105e-07,3.2415329615275064,3.42473979025688,6.1159669901964865e-06,True
barcode_mean_len,high,abs,25.0,0.4,40,10,5.0,0.019284722693644375,0,0,0.9975,0.011304532632817974,0.9753431160396768,1.0,7.38464879278088e-07,4.219577471415202,4.232520567082421,6.1159669901964865e-06,True
barcode_mean_len,high,abs,30.0,0.4,40,10,5.477199999999999,0.021125256627525797,0,0,0.985,0.027507974990862768,0.9310843690179089,1.0,1.3457139554261416e-06,4.215914726257324,4.289246675167465,6.621767082255618e-06,True
barcode_mean_len,high,abs,35.0,0.4,40,10,5.916100000000001,0.022818069585573898,0,0,1.0,0.0,1.0,1.0,6.538314816033479e-07,3.6823905536106656,4.138905450550032,6.1159669901964865e-06,True
barcode_mean_len,high,abs,40.0,0.4,40,10,6.324599999999999,0.024393631429644645,0,0,1.0,0.0,1.0,1.0,6.538314816033479e-07,5.218064069747925,5.950783430826297,6.1159669901964865e-06,True
barcode_mean_len,high,abs,45.0,0.4,40,10,6.708199999999998,0.02587315535470104,0,0,0.975,0.0353207267702707,0.9057713755302694,1.0,2.152876113554094e-06,5.966684103012085,6.074051236028414,8.172141982062479e-06,True
barcode_mean_len,high,abs,50.0,0.4,40,10,7.0711,0.027272840527805754,0,0,0.9925,0.019528774581448426,0.9542236018203611,1.0,9.40412128600105e-07,4.670282363891602,5.385954608082349,6.1159669901964865e-06,True
barcode_mean_len,high,abs,55.0,0.4,40,10,7.416200000000001,0.028603872088121086,0,0,0.9975,0.011304532632817974,0.9753431160396768,1.0,7.38464879278088e-07,5.589774449666341,5.808309823716328,6.1159669901964865e-06,True
barcode_mean_len,high,abs,60.0,0.4,40,10,7.746,0.02987589239699387,0,0,0.9625,0.04295969827343276,0.8782989913840719,1.0,3.8244606308012755e-06,4.80427434709337,5.238420909280098,1.2657467568132337e-05,True
barcode_mean_len,high,abs,65.0,0.4,40,10,8.0623,0.031095843954593815,0,0,0.9975,0.011304532632817974,0.9753431160396768,1.0,7.38464879278088e-07,5.177662344539867,5.8742360697215545,6.1159669901964865e-06,True
barcode_mean_len,high,abs,70.0,0.4,40,10,8.3666,0.032269512177729005,0,0,0.9825,0.02967211382340579,0.9243426569061247,1.0,1.5147411749632373e-06,5.471330810995663,5.833561814848645,6.93945464392025e-06,True
barcode_mean_len,high,abs,75.0,0.4,40,10,8.6603,0.03340229678875367,0,0,0.9725,0.03699385627789856,0.8999920416953189,1.0,2.417801838661637e-06,6.020793307911266,6.146779188369794,8.852581535257174e-06,True
